Logging to: artifacts\runs\20260331_120539_prompt_engineering_abstract.log
Recreate command: uv run python -m llm_metadata.prompt_eval --mode abstract --manifest data/manifests/dev_subset_data_paper.csv --parallelism 8 --model gpt-5-mini --gt data/dataset_092624_validated.xlsx --name prompt_engineering_abstract
2026-03-31 12:05:39 | INFO     | __main__:run_eval:118 | Starting prompt_eval mode=abstract manifest_path=data/manifests/dev_subset_data_paper.csv parallelism=8 model=gpt-5-mini skip_cache=False
2026-03-31 12:05:39 | INFO     | __main__:run_eval:127 | Loaded manifest records=30
2026-03-31 12:05:39 | INFO     | llm_metadata.extraction:run_manifest_extraction:354 | Starting manifest extraction mode=abstract records=30 parallelism=8 model=gpt-5-mini prompt_module=prompts.abstract skip_cache=False
2026-03-31 12:05:39 | INFO     | llm_metadata.extraction:run_manifest_extraction:417 | [1/30] Queueing gt_record_id=5 record_id=10.1093/jhered/esx103 title=Data from: Paternity analysis of wood turtles (Glyptemys insculpta) reveals complex mating patterns
2026-03-31 12:05:39 | INFO     | llm_metadata.extraction:run_manifest_extraction:417 | [2/30] Queueing gt_record_id=9 record_id=10.1371/journal.pone.0128238 title=Data from: Resampling method for applying density-dependent habitat selection theory to wildlife surveys
2026-03-31 12:05:39 | INFO     | llm_metadata.extraction:run_manifest_extraction:417 | [3/30] Queueing gt_record_id=11 record_id=10.1371/journal.pone.0073695 title=Data from: Impacts of human disturbance on large prey species: do behavioral reactions translate to fitness consequences?
2026-03-31 12:05:39 | INFO     | llm_metadata.extraction:run_manifest_extraction:417 | [4/30] Queueing gt_record_id=12 record_id=10.1002/ece3.4685 title=Data from: Natal habitat preference induction in large mammals – Like mother, like child?
2026-03-31 12:05:39 | INFO     | llm_metadata.extraction:run_manifest_extraction:417 | [5/30] Queueing gt_record_id=19 record_id=10.1093/jhered/esw073 title=Data from: The genetic signature of range expansion in a disease vector - the black-legged tick
2026-03-31 12:05:39 | INFO     | llm_metadata.extraction:run_manifest_extraction:417 | [6/30] Queueing gt_record_id=24 record_id=10.1002/ece3.3906 title=Data from: Influence of northern limit range on genetic diversity and structure in a widespread North American tree, sugar maple (Acer saccharum Marshall)
2026-03-31 12:05:39 | INFO     | llm_metadata.extraction:run_manifest_extraction:417 | [7/30] Queueing gt_record_id=27 record_id=10.1111/ddi.12496 title=Data from: Patchy distribution and low effective population size raise concern for an at-risk top predator
2026-03-31 12:05:39 | INFO     | llm_metadata.extraction:run_manifest_extraction:417 | [8/30] Queueing gt_record_id=29 record_id=10.1002/ece3.1476 title=Data from: Ecological gradients driving the distribution of four Ericaceae in boreal Quebec, Canada
